scenario,day,class,emissions_kgCO2,co2_per_unit,litres,trips
A,39,tank,28338.25,2.63,10775,0.3591666666666667
A,40,tank,28338.25,2.63,10775,0.3591666666666667
A,41,tank,28338.25,2.63,10775,0.3591666666666667
A,42,tank,28338.25,2.63,10775,0.3591666666666667
A,43,tank,28338.25,2.63,10775,0.3591666666666667
A,44,tank,28338.25,2.63,10775,0.3591666666666667
A,45,tank,28338.25,2.63,10775,0.3591666666666667
A,46,tank,28338.25,2.63,10775,0.3591666666666667
A,47,tank,28338.25,2.63,10775,0.3591666666666667
A,48,tank,28338.25,2.63,10775,0.3591666666666667
A,49,tank,28338.25,2.63,10775,0.3591666666666667
A,50,tank,28338.25,2.63,10775,0.3591666666666667
A,51,tank,28338.25,2.63,10775,0.3591666666666667
A,52,tank,28338.25,2.63,10775,0.3591666666666667
A,53,tank,28338.25,2.63,10775,0.3591666666666667
A,54,tank,28338.25,2.63,10775,0.3591666666666667
A,55,tank,28338.25,2.63,10775,0.3591666666666667
A,56,tank,28338.25,2.63,10775,0.3591666666666667
A,57,tank,28338.25,2.63,10775,0.3591666666666667
A,58,tank,28338.25,2.63,10775,0.3591666666666667
A,59,tank,28338.25,2.63,10775,0.3591666666666667
A,60,tank,28338.25,2.63,10775,0.3591666666666667
A,1,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,2,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,3,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,4,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,5,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,6,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,7,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,8,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,9,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,10,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
