scenario,class,per_vehicle_total_kg_med,per_vehicle_total_kg_p5,per_vehicle_total_kg_p95,per_vehicle_per_day_kg_med,per_vehicle_per_day_kg_p5,per_vehicle_per_day_kg_p95
A,aircraft,140037.5919148731,78694.1159963793,227650.83105241755,2333.959865247885,1311.5685999396553,3794.1805175402924
A,tank,33912.08208380181,22129.736407186367,53111.49332946606,565.2013680633636,368.82894011977277,885.191555491101
A,truck,2229.1300485876163,1369.5465935220711,3605.403163934664,37.15216747646028,22.825776558701186,60.0900527322444
B,aircraft,106329.79248613073,60622.00839372395,165709.4910210707,2362.8842774695718,1347.1557420827544,3682.4331338015713
B,tank,24242.97442421787,15358.031955462213,36755.995964826114,538.7327649826193,341.28959901027144,816.7999103294691
B,truck,1605.1591120189091,905.0379685295342,2558.1004678461873,35.67020248930909,20.11195485621187,56.84667706324861
C,aircraft,69058.7238545484,39924.30173618018,109285.76612185162,2301.95746181828,1330.8100578726728,3642.858870728387
C,tank,16507.14309445274,10172.560333760804,25360.122860091862,550.2381031484246,339.08534445869356,845.3374286697286
C,truck,968.858682434482,548.2110298072081,1565.8092386098735,32.29528941448273,18.273700993573605,52.19364128699579
