scenario,trips_total_med,trips_total_p5,trips_total_p95,trips_day_med,trips_day_p5,trips_day_p95
A,46.037621907075504,31.54667983467736,63.25511999783247,0.7672936984512584,0.5257779972446226,1.0542519999638746
B,34.295235212549656,23.98081660465302,48.738024535246154,0.762116338056659,0.532907035658956,1.083067211894359
C,11.924506599484866,8.430466084425294,16.173758616794395,0.3974835533161622,0.28101553614750974,0.5391252872264799
